trick[,,,]  第一个代表行数：形状 第二个代表列数：方向  第三个代表：二维数组x轴的位置  第四个代表：二维数组y轴的位置

{0,0,0,0}	{0,1,0,0}	{0,0,0,0}	{0,1,0,0}
{1,1,1,1}	{0,1,0,0}	{1,1,1,1}	{0,1,0,0}
{0,0,0,0}	{0,1,0,0}	{0,0,0,0}	{0,1,0,0}
{0,0,0,0}	{0,1,0,0}	{0,0,0,0}	{0,1,0,0}

{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}
{0,1,1,0}	{0,1,1,0}	{0,1,1,0}	{0,1,1,0}
{0,1,1,0}	{0,1,1,0}	{0,1,1,0}	{0,1,1,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}

{0,1,0,0}	{0,1,1,0}	{0,1,0,0}	{0,1,1,0}
{0,1,1,0}	{1,1,0,0}	{0,1,1,0}	{1,1,0,0}
{0,0,1,0}	{0,0,0,0}	{0,0,1,0}	{0,0,0,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}

{0,0,1,0}	{1,1,0,0}	{0,0,1,0}	{1,1,0,0}
{0,1,1,0}	{0,1,1,0}	{0,1,1,0}	{0,1,1,0}
{0,1,0,0}	{0,0,0,0}	{0,1,0,0}	{0,0,0,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}

{0,1,1,0}	{0,0,1,0}	{0,1,0,0}	{1,1,1,0}
{0,0,1,0}	{1,1,1,0}	{0,1,0,0}	{1,0,0,0}
{0,0,1,0}	{0,0,0,0}	{0,1,1,0}	{0,0,0,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}

{0,1,1,0}	{1,1,1,0}	{0,0,1,0}	{1,0,0,0}
{0,1,0,0}	{0,0,1,0}	{0,0,1,0}	{1,1,1,0}
{0,1,0,0}	{0,0,0,0}	{0,1,1,0}	{0,0,0,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}

{0,0,0,0}	{0,1,0,0}	{0,0,0,0}	{0,0,1,0}
{0,1,0,0}	{0,1,1,0}	{1,1,1,0}	{0,1,1,0}
{1,1,1,0}	{0,1,0,0}	{0,1,0,0}	{0,0,1,0}
{0,0,0,0}	{0,0,0,0}	{0,0,0,0}	{0,0,0,0}


